label,message
1,Win money now by clicking this link!
0,"Hey, are we still meeting tomorrow?"
1,"Congratulations, you've won a free ticket. Claim now!"
0,I will call you after class.
1,Urgent! Your account has been suspended. Verify now!
1,You are selected for a $1000 gift voucher.
0,Can you send me the report by tonight?
0,Lunch at 2 PM?
1,Free access to premium content. Click here!
0,Don’t forget to bring the documents.
1,Win money now by clicking this link!
0,"Hey, are we still meeting tomorrow?"
1,"Congratulations, you've won a free ticket. Claim now!"
0,I will call you after class.
1,Urgent! Your account has been suspended. Verify now!
1,You are selected for a $1000 gift voucher.
0,Can you send me the report by tonight?
0,Lunch at 2 PM?
1,Free access to premium content. Click here!
0,Don’t forget to bring the documents.
1,Win money now by clicking this link!
0,"Hey, are we still meeting tomorrow?"
1,"Congratulations, you've won a free ticket. Claim now!"
0,I will call you after class.
1,Urgent! Your account has been suspended. Verify now!
1,You are selected for a $1000 gift voucher.
0,Can you send me the report by tonight?
0,Lunch at 2 PM?
1,Free access to premium content. Click here!
0,Don’t forget to bring the documents.
1,Win money now by clicking this link!
0,"Hey, are we still meeting tomorrow?"
1,"Congratulations, you've won a free ticket. Claim now!"
0,I will call you after class.
1,Urgent! Your account has been suspended. Verify now!
1,You are selected for a $1000 gift voucher.
0,Can you send me the report by tonight?
0,Lunch at 2 PM?
1,Free access to premium content. Click here!
0,Don’t forget to bring the documents.
1,Win money now by clicking this link!
0,"Hey, are we still meeting tomorrow?"
1,"Congratulations, you've won a free ticket. Claim now!"
0,I will call you after class.
1,Urgent! Your account has been suspended. Verify now!
1,You are selected for a $1000 gift voucher.
0,Can you send me the report by tonight?
0,Lunch at 2 PM?
1,Free access to premium content. Click here!
0,Don’t forget to bring the documents.
1,Win money now by clicking this link!
0,"Hey, are we still meeting tomorrow?"
1,"Congratulations, you've won a free ticket. Claim now!"
0,I will call you after class.
1,Urgent! Your account has been suspended. Verify now!
1,You are selected for a $1000 gift voucher.
0,Can you send me the report by tonight?
0,Lunch at 2 PM?
1,Free access to premium content. Click here!
0,Don’t forget to bring the documents.
1,Win money now by clicking this link!
0,"Hey, are we still meeting tomorrow?"
1,"Congratulations, you've won a free ticket. Claim now!"
0,I will call you after class.
1,Urgent! Your account has been suspended. Verify now!
1,You are selected for a $1000 gift voucher.
0,Can you send me the report by tonight?
0,Lunch at 2 PM?
1,Free access to premium content. Click here!
0,Don’t forget to bring the documents.
1,Win money now by clicking this link!
0,"Hey, are we still meeting tomorrow?"
1,"Congratulations, you've won a free ticket. Claim now!"
0,I will call you after class.
1,Urgent! Your account has been suspended. Verify now!
1,You are selected for a $1000 gift voucher.
0,Can you send me the report by tonight?
0,Lunch at 2 PM?
1,Free access to premium content. Click here!
0,Don’t forget to bring the documents.
1,Win money now by clicking this link!
0,"Hey, are we still meeting tomorrow?"
1,"Congratulations, you've won a free ticket. Claim now!"
0,I will call you after class.
1,Urgent! Your account has been suspended. Verify now!
1,You are selected for a $1000 gift voucher.
0,Can you send me the report by tonight?
0,Lunch at 2 PM?
1,Free access to premium content. Click here!
0,Don’t forget to bring the documents.
1,Win money now by clicking this link!
0,"Hey, are we still meeting tomorrow?"
1,"Congratulations, you've won a free ticket. Claim now!"
0,I will call you after class.
1,Urgent! Your account has been suspended. Verify now!
